"","exp","treat","cum.mn.perc","cum.sd.perc"
"1","Digestate A","NEO",13.2097817124448,0.802243571761841
"2","Digestate A","Raw",51.2248241457245,2.13184137875993
"3","Digestate A","Separated",17.9565194968638,2.12589047520761
"4","Digestate B","NEO",5.20249040233536,0.614468638216466
"5","Digestate B","Raw",44.9003384776403,1.10001558816381
"6","Digestate B","Separated",11.7923579831452,2.38936449250684
"7","Pig A","NEO",4.88517078689952,0.432549325242361
"8","Pig A","Raw",18.7222802654978,2.18764314923821
"9","Pig A","Separated",7.88539666067674,1.89643565210374
"10","Pig B","NEO",5.30851202281402,2.3027732585569
"11","Pig B","Raw",18.0517549629285,3.90117494606335
"12","Pig B","Separated",8.01625111020919,3.08100702228387
